main_food_group	company_name	product_name	brand_name	product_weight
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Premium Concentrated Bird's Nest (Sugar Free)	Eu Yan Sang	150g
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Prunella Tea	Eu Yan Sang	420ml
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Pugongying Fig Tea	Eu Yan Sang	330ml
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Superior Bird's Nest with Pearl Powder and Collagen (Reduced Sugar)	Eu Yan Sang	Inner box 70
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Superior Bird's Nest with Pearl Powder and Collagen (Reduced Sugar)	Eu Yan Sang	Outer box 7 x 70
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Superior Bird's Nest with Rock Sugar (Reduced Sugar)	Eu Yan Sang	Inner box 70
Beverages	Eu Yan Sang (S) Pte Ltd	Eu Yan Sang Superior Bird's Nest with Rock Sugar (Reduced Sugar)	Eu Yan Sang	Outer box 7 x 70
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS EDGE Non-Carbonated Isotonic Drink	F&N 100 Plus	1.5L
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS EDGE Non-Carbonated Isotonic Drink	F&N 100 Plus	300ml
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS EDGE Non-Carbonated Isotonic Drink	F&N 100 Plus	500ml
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS EDGE Non-Carbonated Isotonic Drink R2016	F&N 100 PLUS	300ml
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS EDGE Non-Carbonated Isotonic Drink R2016	F&N 100 PLUS	500ml
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS EDGE Non-Carbonated Isotonic Drink R2016	F&N 100 PLUS	1.5L
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS Isotonic Drink	F&N 100 Plus	1.5L
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS Isotonic Drink	F&N 100 Plus	325ml
Beverages	F&N Foods Pte Ltd	F&N 100 PLUS Isotonic Drink	F&N 100 Plus	500ml
